Countries and areas,Latitude ,Longitude,male literacy,female literacy,Birth_Rate,primary-enollment,secondary-enrollment,Unemployment_Rate,literacy
Sweden,60.128161,18.643501,0,0,11.4,126.6,67,6.48,0
Switzerland,46.818188,8.227512,0,0,10,105.2,59.6,4.58,0
Syria,34.802075,38.996815,0,0,23.69,81.7,40.1,8.37,0
Tajikistan,38.861034,71.276093,0,0,30.76,100.9,31.3,11.02,0
Thailand,15.870032,100.992541,98,99,10.34,99.8,49.3,0.75,98.5
East Timor,8.874217,125.727539,82,85,29.42,115.3,17.8,4.55,83.5
Togo,8.619543,0.824782,0,0,33.11,123.8,14.5,2.04,0
Tokelau,9.2002,171.8484,0,0,0,0,0,0,0
Tonga,21.178986,175.198242,99,100,24.3,116.3,6.4,1.12,99.5
Trinidad and Tobago,10.691803,61.222503,0,0,12.94,106.2,12,2.69,0
Tunisia,33.886917,9.537499,0,0,17.56,115.4,31.7,16.02,0
Turkey,38.963745,35.243322,0,0,16.03,93.2,23.9,13.49,0
Turkmenistan,38.969719,59.556278,0,0,23.83,88.4,8,3.91,0
Turks and Caicos Islands,21.694025,71.797928,0,0,0,0,0,0,0
Tuvalu,7.109535,177.64933,0,0,0,0,0,0,0
Uganda,1.373333,32.290275,89,90,38.14,102.7,4.8,1.84,89.5
Ukraine,48.379433,31.16558,0,0,8.7,99,82.7,8.88,0
United Arab Emirates,23.424076,53.847818,0,0,10.33,108.4,36.8,2.35,0
United Kingdom,55.378051,3.435973,0,0,11,101.2,60,3.85,0
Tanzania,6.369028,34.888822,0,0,36.7,94.2,4,1.98,0
United States,37.09024,95.712891,0,0,11.6,101.8,88.2,14.7,0
Uruguay,32.522779,55.765835,99,99,13.86,108.5,63.1,8.73,99
Uzbekistan,41.377491,64.585262,100,100,23.3,104.2,10.1,5.92,100
Vanuatu,15.376706,166.959158,96,97,29.6,109.3,4.7,4.39,96.5
Venezuela,6.42375,66.58973,0,0,17.88,97.2,79.3,8.8,0
Vietnam,14.058324,108.277199,98,98,16.75,110.6,28.5,2.01,98
Yemen,15.552727,48.516388,0,0,30.45,93.6,10.2,12.91,0
Zambia,13.133897,27.849332,93,92,36.19,98.7,4.1,11.43,92.5
Zimbabwe,19.015438,29.154857,0,0,30.68,109.9,10,4.95,0
